feature,mean_abs_shap
premium_per_exposure,1.6399446
premium,0.89889425
claims_per_exposure,0.81541026
segment_score,0.56867963
age,0.51545584
distribution_channel_A,0.3767972
family_size,0.3279806
seniority_policy,0.22900161
seniority_insured,0.16477114
type_product_P,0.14700204
gender_F,0.1303598
distribution_channel_I,0.09772899
age_band_51-65,0.09347841
type_product_S,0.042180534
type_policy_C,0.041969277
age_band_36-50,0.041666012
gender_M,0.038365576
portfolio_segment_High Exposure,0.03599242
portfolio_segment_Moderate Exposure,0.029601373
age_band_26-35,0.02600262
portfolio_segment_Critical Exposure,0.021610744
age_band_18-25,0.016811479
portfolio_segment_encoded,0.010669666
portfolio_segment_Low Exposure,0.0067621516
type_policy_I,0.0057665566
age_band_65+,0.005427372
seniority_band_6-10,0.0027297887
seniority_band_3-5,0.002219805
age_band_score,0.0016694111
seniority_band_10+,0.0012062353
seniority_band_0-2,0.00023848754
