row_id,lapse_probability,retention_segment,recommended_action
0,0.26722154,Stable,No Action
1,0.094906606,Stable,No Action
2,0.07178323,Stable,No Action
3,0.13810468,Stable,No Action
4,0.12517709,Stable,No Action
5,0.16702305,Stable,No Action
6,0.15835367,Stable,No Action
7,0.45861453,Watch,Loyalty Email
8,0.13586651,Stable,No Action
9,0.18128783,Stable,No Action
10,0.14393187,Stable,No Action
11,0.36853635,Stable,No Action
12,0.28688306,Stable,No Action
13,0.66164756,Watch,Loyalty Email
14,0.25530374,Stable,No Action
15,0.21624239,Stable,No Action
16,0.3927136,Stable,No Action
17,0.34982795,Stable,No Action
18,0.6152021,Watch,Loyalty Email
19,0.34855178,Stable,No Action
20,0.14216085,Stable,No Action
21,0.22305016,Stable,No Action
22,0.24974468,Stable,No Action
23,0.5803348,Watch,Loyalty Email
24,0.091764875,Stable,No Action
25,0.0986725,Stable,No Action
26,0.07032037,Stable,No Action
27,0.0885203,Stable,No Action
28,0.06215155,Stable,No Action
29,0.24405123,Stable,No Action
30,0.23555727,Stable,No Action
31,0.24295448,Stable,No Action
32,0.10016465,Stable,No Action
33,0.8557424,At-Risk,Agent Call + Discount
34,0.64259547,Watch,Loyalty Email
35,0.9292818,At-Risk,Agent Call + Discount
36,0.60031736,Watch,Loyalty Email
37,0.17363095,Stable,No Action
38,0.20887138,Stable,No Action
39,0.19648282,Stable,No Action
40,0.08091495,Stable,No Action
41,0.0803771,Stable,No Action
42,0.06693406,Stable,No Action
43,0.11213246,Stable,No Action
44,0.11207812,Stable,No Action
45,0.08986718,Stable,No Action
46,0.1050829,Stable,No Action
47,0.11932081,Stable,No Action
48,0.1779048,Stable,No Action
49,0.089306585,Stable,No Action
50,0.09379177,Stable,No Action
51,0.20098542,Stable,No Action
52,0.07488196,Stable,No Action
53,0.2674578,Stable,No Action
54,0.14544205,Stable,No Action
55,0.07243647,Stable,No Action
56,0.065487474,Stable,No Action
57,0.07377145,Stable,No Action
58,0.1939492,Stable,No Action
59,0.5758216,Watch,Loyalty Email
60,0.5323501,Watch,Loyalty Email
61,0.30605802,Stable,No Action
62,0.10042581,Stable,No Action
63,0.10812045,Stable,No Action
64,0.08780654,Stable,No Action
65,0.25326014,Stable,No Action
66,0.06409559,Stable,No Action
67,0.07606144,Stable,No Action
68,0.21707001,Stable,No Action
69,0.1460328,Stable,No Action
70,0.21101739,Stable,No Action
71,0.06346464,Stable,No Action
72,0.17775753,Stable,No Action
73,0.08270329,Stable,No Action
74,0.11944852,Stable,No Action
75,0.14915778,Stable,No Action
76,0.18911316,Stable,No Action
77,0.16682322,Stable,No Action
78,0.58815783,Watch,Loyalty Email
79,0.25152957,Stable,No Action
80,0.1834874,Stable,No Action
81,0.056774974,Stable,No Action
82,0.110646576,Stable,No Action
83,0.1982231,Stable,No Action
84,0.18315503,Stable,No Action
