age_band,risk_class,policy_count,total_premium,total_claims,loss_ratio_pct,profit
51-65,VeryHigh,2252,2794072.61,2593438.97,92.82,200633.64
65+,,0,58771565.23646325,50258607.8406,85.52,8512957.4
51-65,High,3285,4321611.28,3213940.77,74.37,1107670.51
51-65,Medium,8929,11439897.55,8357702.100000001,73.06,3082195.45
51-65,,0,46595606.12568388,32140859.1505,68.98,14454746.98
26-35,,0,18433509.371823676,12662669.2666,68.69,5770840.11
51-65,Low,18624,23828629.69,16117819.4,67.64,7710810.29
36-50,,0,40899437.94719769,24238542.1411,59.26,16660895.81
18-25,High,175,150764.84,79370.78,52.65,71394.06
18-25,Low,269,231976.53,119251.95,51.41,112724.58
