feature,importance
n_medical_services,0.67768395
claim_frequency,0.25238723
claim_severity,0.060884237
risk_score,0.0024045669
exposure_time,0.0022935346
age,0.001193836
IICIPROV,0.0008005178
gender_F,0.0007797324
C_GI,0.00025293583
distribution_channel_I,0.00023241516
IICIMUN,0.00021988955
type_product_P,0.00010504056
type_policy_C,0.000100874
seniority_policy,0.000100404955
C_II,8.493654e-05
type_policy_I,8.299813e-05
distribution_channel_D,7.892051e-05
seniority_insured,6.914416e-05
family_size,6.21543e-05
distribution_channel_A,5.9459973e-05
type_product_D,4.286934e-05
type_product_S,3.2663454e-05
type_product_I,2.724312e-05
gender_M,2.0397196e-05
